keyword,cluster,est_volume,intent,cv_distance,difficulty,ai_risk,priority_rank,note
保育士 求人 福岡市,C7_地域KW,500,Buy,A,High,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
保育士 求人 北九州市,C7_地域KW,100,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
保育士 求人 東京 正社員,C7_地域KW,500,Buy,A,High,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
保育士 求人 東京 パート,C7_地域KW,500,Buy,A,High,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
保育士 派遣 東京,C7_地域KW,500,Buy,A,High,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
保育士 求人 大阪 未経験,C7_地域KW,100,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
保育士 借り上げ社宅 東京 2026,C7_地域KW,500,Know,A,Mid,中,,推定/根拠:自治体の宿舎借り上げは年度ごとに変動。一次情報整理で勝てる【P2重点:30代・経験5年以上・失敗回避層】
保育士 家賃補助 自治体 比較,C7_地域KW,100,Know,A,Low,低,39,推定/根拠:自治体横断比較は誰も丁寧にやっていない。地域KWのハブになる【P2重点:30代・経験5年以上・失敗回避層】
保育士 給料 高い 自治体,C7_地域KW,100,Know,A,Low,低,,【P2重点:30代・経験5年以上・失敗回避層】
保育士 上京 支援,C7_地域KW,100,Know,A,Low,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
保育士 地方から東京 転職,C7_地域KW,50,Know,A,Low,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
保育士 Uターン転職,C7_地域KW,100,Know,B,Low,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
保育士 引っ越し 転職 同時,C7_地域KW,50,Know,B,Low,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
保育士 有効求人倍率 都道府県,C7_地域KW,500,Know,C,Mid,高,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
保育園 評判 調べ方 転職,C8_園・法人の評判（要法務確認）,100,Know,A,Low,低,,推定/根拠:固有名を出さず『調べ方』に抽象化すればリスク回避しつつ需要を取れる
社会福祉法人 保育園 働きやすさ,C8_園・法人の評判（要法務確認）,100,Know,B,Low,低,,【リスク要注意】名誉毀損・信用毀損・景表法。法人固有名の断定的評価は載せず、一次情報（離職率・現況報告書・行政指導歴）へのリンクと事実提示に限定。6ヶ月フェーズでは着手しない
株式会社 保育園 社会福祉法人 違い,C8_園・法人の評判（要法務確認）,500,Know,B,Mid,中,,推定/根拠:運営主体で労務・昇給構造が変わる。園長が構造差を説明できる【P2重点:30代・経験5年以上・失敗回避層】
大手保育園 ランキング 働きやすさ,C8_園・法人の評判（要法務確認）,100,Know,A,Mid,低,,【リスク要注意】名誉毀損・信用毀損・景表法。法人固有名の断定的評価は載せず、一次情報（離職率・現況報告書・行政指導歴）へのリンクと事実提示に限定。6ヶ月フェーズでは着手しない
保育園 口コミサイト 保育士向け,C8_園・法人の評判（要法務確認）,100,Go,B,Low,低,,【リスク要注意】名誉毀損・信用毀損・景表法。法人固有名の断定的評価は載せず、一次情報（離職率・現況報告書・行政指導歴）へのリンクと事実提示に限定。6ヶ月フェーズでは着手しない
保育園 ホワイト 特徴,C8_園・法人の評判（要法務確認）,100,Know,A,Low,低,,【P2重点:30代・経験5年以上・失敗回避層】
保育園 離職率 高い 理由,C8_園・法人の評判（要法務確認）,100,Know,B,Low,低,,要注意/名誉毀損・景表法リスク。断定評価は避け一次情報リンクのみ
保育士 転職 口コミ 信用できる,C8_園・法人の評判（要法務確認）,50,Know,B,Low,低,,【リスク要注意】名誉毀損・信用毀損・景表法。法人固有名の断定的評価は載せず、一次情報（離職率・現況報告書・行政指導歴）へのリンクと事実提示に限定。6ヶ月フェーズでは着手しない
保育園 行政指導 調べ方,C8_園・法人の評判（要法務確認）,50,Do,B,Low,低,,【リスク要注意】名誉毀損・信用毀損・景表法。法人固有名の断定的評価は載せず、一次情報（離職率・現況報告書・行政指導歴）へのリンクと事実提示に限定。6ヶ月フェーズでは着手しない
保育園 運営会社 調べ方,C8_園・法人の評判（要法務確認）,50,Do,B,Low,低,,【リスク要注意】名誉毀損・信用毀損・景表法。法人固有名の断定的評価は載せず、一次情報（離職率・現況報告書・行政指導歴）へのリンクと事実提示に限定。6ヶ月フェーズでは着手しない
保育園 現況報告書 見方,C8_園・法人の評判（要法務確認）,50,Do,A,Low,低,,推定/根拠:社会福祉法人の現況報告書は公開一次情報。読み方解説は競合皆無【P2重点:30代・経験5年以上・失敗回避層】
グローバルキッズ 保育士 評判,C8_園・法人の評判（要法務確認）,500,Know,A,Mid,低,,【リスク要注意】名誉毀損・信用毀損・景表法。法人固有名の断定的評価は載せず、一次情報（離職率・現況報告書・行政指導歴）へのリンクと事実提示に限定。6ヶ月フェーズでは着手しない
ポピンズ 保育士 評判,C8_園・法人の評判（要法務確認）,100,Know,A,Mid,低,,【リスク要注意】名誉毀損・信用毀損・景表法。法人固有名の断定的評価は載せず、一次情報（離職率・現況報告書・行政指導歴）へのリンクと事実提示に限定。6ヶ月フェーズでは着手しない
にじいろ保育園 評判 保育士,C8_園・法人の評判（要法務確認）,100,Know,A,Mid,低,,【リスク要注意】名誉毀損・信用毀損・景表法。法人固有名の断定的評価は載せず、一次情報（離職率・現況報告書・行政指導歴）へのリンクと事実提示に限定。6ヶ月フェーズでは着手しない
アスク保育園 評判 保育士,C8_園・法人の評判（要法務確認）,100,Know,A,Mid,低,,【リスク要注意】名誉毀損・信用毀損・景表法。法人固有名の断定的評価は載せず、一次情報（離職率・現況報告書・行政指導歴）へのリンクと事実提示に限定。6ヶ月フェーズでは着手しない
保育士 辞めて 別の仕事,C9_異業種・保育士以外のキャリア,500,Know,B,Mid,低,,推定/根拠:『保育士以外の仕事』系。大手が21〜25選型で網羅済み
保育士 異業種 転職,C9_異業種・保育士以外のキャリア,"1,000",Know,B,High,低,,推定/根拠:『20選』型の網羅記事が大手に存在。年代別体験談で差別化
保育士 から 事務職,C9_異業種・保育士以外のキャリア,500,Know,B,Mid,低,,推定/根拠:最頻出の転職先。未経験事務の現実を具体で書けば勝機
保育士 から 一般企業,C9_異業種・保育士以外のキャリア,500,Know,B,Mid,低,,推定/根拠:『保育士以外の仕事』系。大手が21〜25選型で網羅済み
保育士 から 介護職,C9_異業種・保育士以外のキャリア,500,Know,A,Mid,低,,推定/根拠:『保育士以外の仕事』系。大手が21〜25選型で網羅済み
保育士 から 看護助手,C9_異業種・保育士以外のキャリア,100,Know,A,Low,低,,推定/根拠:『保育士以外の仕事』系。大手が21〜25選型で網羅済み
保育士 から 児童指導員,C9_異業種・保育士以外のキャリア,500,Know,A,Mid,中,,推定/根拠:『保育士以外の仕事』系。大手が21〜25選型で網羅済み
保育士 から 公務員,C9_異業種・保育士以外のキャリア,500,Know,B,Mid,中,,推定/根拠:『保育士以外の仕事』系。大手が21〜25選型で網羅済み
保育士 から 営業職,C9_異業種・保育士以外のキャリア,100,Know,B,Low,低,,推定/根拠:『保育士以外の仕事』系。大手が21〜25選型で網羅済み
保育士 から 医療事務,C9_異業種・保育士以外のキャリア,100,Know,B,Low,低,,推定/根拠:『保育士以外の仕事』系。大手が21〜25選型で網羅済み
保育士 から IT 転職,C9_異業種・保育士以外のキャリア,100,Know,B,Low,低,,推定/根拠:『保育士以外の仕事』系。大手が21〜25選型で網羅済み
保育士 から webデザイナー,C9_異業種・保育士以外のキャリア,100,Know,B,Low,低,,推定/根拠:『保育士以外の仕事』系。大手が21〜25選型で網羅済み
保育士 から コールセンター,C9_異業種・保育士以外のキャリア,50,Know,B,Low,低,,推定/根拠:『保育士以外の仕事』系。大手が21〜25選型で網羅済み
保育士 から 販売職,C9_異業種・保育士以外のキャリア,50,Know,C,Low,低,,推定/根拠:『保育士以外の仕事』系。大手が21〜25選型で網羅済み
保育士 から 幼児教室 講師,C9_異業種・保育士以外のキャリア,100,Know,A,Low,低,,推定/根拠:『保育士以外の仕事』系。大手が21〜25選型で網羅済み
保育士 から 塾講師,C9_異業種・保育士以外のキャリア,50,Know,B,Low,低,,推定/根拠:『保育士以外の仕事』系。大手が21〜25選型で網羅済み
保育士 から ベビーシッター 独立,C9_異業種・保育士以外のキャリア,100,Know,A,Low,低,,推定/根拠:『保育士以外の仕事』系。大手が21〜25選型で網羅済み
保育士 から 人材紹介会社,C9_異業種・保育士以外のキャリア,50,Know,B,Low,低,,【利益相反フラグ:紹介会社送客収益と主張が衝突しうる。中立記述＋収益導線の設計を別途協議】
保育士 から 保育園 本部 職員,C9_異業種・保育士以外のキャリア,50,Know,A,Low,低,,推定/根拠:『現場を離れて業界に残る』ニッチ。園長のキャリア知見で独占可能
保育士 30代 異業種 未経験,C9_異業種・保育士以外のキャリア,100,Know,B,Low,低,,【P2重点:30代・経験5年以上・失敗回避層】
保育士 20代 異業種 転職,C9_異業種・保育士以外のキャリア,100,Know,B,Low,低,,推定/根拠:『保育士以外の仕事』系。大手が21〜25選型で網羅済み
保育士 辞めた人 その後,C9_異業種・保育士以外のキャリア,500,Know,B,Mid,低,,推定/根拠:『保育士以外の仕事』系。大手が21〜25選型で網羅済み
保育士 転職 潰しが効かない,C9_異業種・保育士以外のキャリア,100,Know,B,Low,低,,推定/根拠:『保育士以外の仕事』系。大手が21〜25選型で網羅済み
保育士 スキル 言い換え 職務経歴書,C9_異業種・保育士以外のキャリア,50,Do,B,Low,低,,推定/根拠:保育経験のビジネス語への翻訳。採用側目線の翻訳例が書ける【P2重点:30代・経験5年以上・失敗回避層】
保育士 資格 一般企業 有利,C9_異業種・保育士以外のキャリア,100,Know,B,Low,低,,推定/根拠:『保育士以外の仕事』系。大手が21〜25選型で網羅済み
保育士 有効求人倍率,C10_市場・制度・データ（権威付け）,"1,000",Know,C,Mid,高,,推定/根拠:2026年1月 全国平均3.88倍（各社が職業安定業務統計を引用）
保育士不足 原因,C10_市場・制度・データ（権威付け）,"1,000",Know,C,Mid,高,,推定/根拠:官公庁データ引用型。CVは遠いが被リンク・E-E-A-T獲得用
潜在保育士 とは,C10_市場・制度・データ（権威付け）,500,Know,C,Mid,高,,推定/根拠:登録約185万人・従事約115万人（こども家庭庁調査の引用が各社に流通）
保育士 配置基準 2026,C10_市場・制度・データ（権威付け）,"1,000",Know,C,Mid,高,,推定/根拠:官公庁データ引用型。CVは遠いが被リンク・E-E-A-T獲得用
保育士 配置基準 改正 いつ,C10_市場・制度・データ（権威付け）,500,Know,C,Mid,高,,推定/根拠:官公庁データ引用型。CVは遠いが被リンク・E-E-A-T獲得用
保育士 働き方改革 事例,C10_市場・制度・データ（権威付け）,100,Know,C,Low,中,,推定/根拠:官公庁データ引用型。CVは遠いが被リンク・E-E-A-T獲得用
保育士 離職率,C10_市場・制度・データ（権威付け）,"1,000",Know,C,Mid,高,,推定/根拠:官公庁データ引用型。CVは遠いが被リンク・E-E-A-T獲得用
保育士 平均勤続年数,C10_市場・制度・データ（権威付け）,500,Know,C,Mid,高,,推定/根拠:官公庁データ引用型。CVは遠いが被リンク・E-E-A-T獲得用
保育士 退職理由 ランキング,C10_市場・制度・データ（権威付け）,500,Know,B,Mid,中,,推定/根拠:人間関係33.5〜38%が1位（各社調査）。悩み層の入口として有効
男性保育士,C10_市場・制度・データ（権威付け）,"5,000",Know,C,Mid,中,,推定/根拠:官公庁データ引用型。CVは遠いが被リンク・E-E-A-T獲得用
男性保育士 給料,C10_市場・制度・データ（権威付け）,500,Know,B,Mid,高,,推定/根拠:官公庁データ引用型。CVは遠いが被リンク・E-E-A-T獲得用
男性保育士 きつい 現実,C10_市場・制度・データ（権威付け）,100,Know,B,Low,低,,推定/根拠:当事者体験が薄い領域。男性層は競合が少なくCV効率が良い
男性保育士 転職 おすすめ 職場,C10_市場・制度・データ（権威付け）,100,Know,A,Low,低,,推定/根拠:採用側が男性保育士をどう評価・配置するかは決裁者情報
男性保育士 結婚 生活できない,C10_市場・制度・データ（権威付け）,100,Know,B,Low,低,,推定/根拠:官公庁データ引用型。CVは遠いが被リンク・E-E-A-T獲得用
保育士 割合 年齢層,C10_市場・制度・データ（権威付け）,100,Know,C,Low,高,,推定/根拠:官公庁データ引用型。CVは遠いが被リンク・E-E-A-T獲得用
こども誰でも通園制度 保育士 影響,C10_市場・制度・データ（権威付け）,100,Know,C,Low,中,,推定/根拠:官公庁データ引用型。CVは遠いが被リンク・E-E-A-T獲得用
保育士 人手不足 いつまで,C10_市場・制度・データ（権威付け）,100,Know,C,Low,高,,推定/根拠:官公庁データ引用型。CVは遠いが被リンク・E-E-A-T獲得用
保育士 将来性,C10_市場・制度・データ（権威付け）,500,Know,B,Mid,中,,推定/根拠:官公庁データ引用型。CVは遠いが被リンク・E-E-A-T獲得用
保育士 定年,C10_市場・制度・データ（権威付け）,100,Know,C,Low,高,,推定/根拠:官公庁データ引用型。CVは遠いが被リンク・E-E-A-T獲得用
保育士 転職 市場 2026,C10_市場・制度・データ（権威付け）,50,Know,B,Low,中,,推定/根拠:官公庁データ引用型。CVは遠いが被リンク・E-E-A-T獲得用
保育士 採用 売り手市場 いつまで,C10_市場・制度・データ（権威付け）,50,Know,B,Low,中,,推定/根拠:有効求人倍率3.88倍の意味を採用側から翻訳できる
